id,count,Kingdom,Phylum,Class,Order,Family,Genus,count
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,"",3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Negativibacillus,3
10317.000012326,3,Bacteria,"","","","","",3
10317.000012326,3,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fournierella,3
10317.000012326,3,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Oxalobacter,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-014,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_AD3011_group,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerofilum,3
10317.000012326,3,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_NK4A214_group,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,DTU089,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-001,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013,3
10317.000012326,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Murdochiella,3
10317.000012326,3,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,3
10317.000012326,2,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,"",2
10317.000012326,2,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,"",2
10317.000012326,2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,"","",2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-005,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Hydrogenoanaerobacterium,2
10317.000012326,2,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,"","",2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"",2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Harryflintia,2
10317.000012326,2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"",2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,"",2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-010,2
10317.000012326,2,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthella,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_AD3011_group,2
10317.000012326,2,Bacteria,"","","","","",2
10317.000012326,2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,2
10317.000012326,2,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,"","","",2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Angelakisella,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,S5-A14a,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,DTU014,"","",2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,2
10317.000012326,2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,2
10317.000012326,2,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriales_Incertae_Sedis,"",2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_FCS020_group,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Candidatus_Soleaferrea,2
10317.000012326,2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,2
